Grade Level,Subject,TEK,STANDARD
High School,Physics,5(D),describe and analyze acceleration in uniform circular and horizontal projectile motion in two dimensions using equations
High School,Physics,5(E),"explain and apply the concepts of equilibrium and inertia as represented by Newton's first law of motion using relevant real-world examples such as rockets, satellites, and automobile safety devices"
High School,Physics,5(F),"calculate the effect of forces on objects, including tension, friction, normal, gravity, centripetal, and applied forces, using free body diagrams and the relationship between force and acceleration as represented by Newton's second law of motion"
High School,Physics,5(G),illustrate and analyze the simultaneous forces between two objects as represented in Newton's third law of motion using free body diagrams and in an experimental design scenario; and
High School,Physics,5(H),"describe and calculate, using scientific notation, how the magnitude of force between two objects depends on their masses and the distance between their centers, and predict the effects on objects in linear and orbiting systems using Newton's law of universal gravitation"
High School,Physics,6(A),use scientific notation and predict how the magnitude of the electric force between two objects depends on their charges and the distance between their centers using Coulomb's law
High School,Physics,6(B),"identify and describe examples of electric and magnetic forces and fields in everyday life such as generators, motors, and transformers"
High School,Physics,6(C),"investigate and describe conservation of charge during the processes of induction, conduction, and polarization using different materials such as electroscopes, balloons, rods, fur, silk, and Van de Graaf generators;"
High School,Physics,6(D),"analyze, design, and construct series and parallel circuits using schematics and materials such as switches, wires, resistors, lightbulbs, batteries, voltmeters, and ammeters; and"
High School,Physics,6(E),"calculate current through, potential difference across, resistance of, and power used by electric circuit elements connected in both series and parallel circuits using Ohm's law"
High School,Physics,7(A),calculate and explain work and power in one dimension and identify when work is and is not being done by or on a system
High School,Physics,7(B),"investigate and calculate mechanical, kinetic, and potential energy of a system"
High School,Physics,7(C),"apply the concept of conservation of energy using the work-energy theorem, energy diagrams, and energy transformation equations, including transformations between kinetic, potential, and thermal energy"
High School,Physics,7(D),"calculate and describe the impulse and momentum of objects in physical systems such as automobile safety features, athletics, and rockets; and"
High School,Physics,7(E),"analyze the conservation of momentum qualitatively in inelastic and elastic collisions in one dimension using models, diagrams, and simulations"
High School,Physics,8(A),examine and describe simple harmonic motion such as masses on springs and pendulums and wave energy propagation in various types of media such as surface waves on a body of water and pulses in ropes
High School,Physics,8(B),"compare the characteristics of transverse and longitudinal waves, including electromagnetic and sound waves"
High School,Physics,8(C),"investigate and analyze characteristics of waves, including velocity, frequency, amplitude, and wavelength, and calculate using the relationships between wave speed, frequency, and wavelength"
High School,Physics,8(D),"investigate behaviors of waves, including reflection, refraction, diffraction, interference, standing wave, the Doppler effect and polarization and superposition; and"
High School,Physics,8(E),"compare the different applications of the electromagnetic spectrum, including radio telescopes, microwaves, and x-rays"
High School,Physics,8(F),investigate the emission spectra produced by various atoms and explain the relationship to the electromagnetic spectrum; and
High School,Physics,8(G),describe and predict image formation as a consequence of reflection from a plane mirror and refraction through a thin convex lens
High School,Physics,9(A),describe the photoelectric effect and emission spectra produced by various atoms and how both are explained by the photon model for light
High School,Physics,9(B),"investigate Malus's Law and describe examples of applications of wave polarization, including 3-D movie glasses and LCD computer screens"
High School,Physics,9(C),compare and explain how superposition of quantum states is related to the wave-particle duality nature of light; and
High School,Physics,9(D),"give examples of applications of quantum phenomena, including the Heisenberg uncertainty principle, quantum computing, and cybersecurity"
High School,Precalculus,1(A),"apply mathematics to problems arising in everyday life, society, and the workplace"
High School,Precalculus,1(B),"use a problem-solving model that incorporates analyzing given information, formulating a plan or strategy, determining a solution, justifying the solution, and evaluating the problem-solving process and the reasonableness of the solution"
High School,Precalculus,1(C),"select tools, including real objects, manipulatives, paper and pencil, and technology as appropriate, and techniques, including mental math, estimation, and number sense as appropriate, to solve problems"
High School,Precalculus,1(D),"communicate mathematical ideas, reasoning, and their implications using multiple representations, including symbols, diagrams, graphs, and language as appropriate"
High School,Precalculus,1(E),"create and use representations to organize, record, and communicate mathematical ideas"
High School,Precalculus,1(F),analyze mathematical relationships to connect and communicate mathematical ideas; and
High School,Precalculus,1(G),"display, explain, and justify mathematical ideas and arguments using precise mathematical language in written or oral communication"
High School,Precalculus,2(A),use the composition of two functions to model and solve real-world problems
High School,Precalculus,2(B),demonstrate that function composition is not always commutative
High School,Precalculus,2(C),represent a given function as a composite function of two or more functions
High School,Precalculus,2(D),describe symmetry of graphs of even and odd functions
High School,Precalculus,2(E),"determine an inverse function, when it exists, for a given function over its domain or a subset of its domain and represent the inverse using multiple representations"
High School,Precalculus,2(F),"graph exponential, logarithmic, rational, polynomial, power, trigonometric, inverse trigonometric, and piecewise defined functions, including step functions"
High School,Precalculus,2(G),"graph functions, including exponential, logarithmic, sine, cosine, rational, polynomial, and power functions and their transformations, including af(x), f(x) + d, f(x - c), f(bx) for specific values of a, b, c, and d, in mathematical and real-world problems"
High School,Precalculus,2(H),graph arcsin x and arccos x and describe the limitations on the domain
High School,Precalculus,2(I),"determine and analyze the key features of exponential, logarithmic, rational, polynomial, power, trigonometric, inverse trigonometric, and piecewise defined functions, including step functions such as domain, range, symmetry, relative maximum, relative minimum, zeros, asymptotes, and intervals over which the function is increasing or decreasing"
High School,Precalculus,2(J),"analyze and describe end behavior of functions, including exponential, logarithmic, rational, polynomial, and power functions, using infinity notation to communicate this characteristic in mathematical and real-world problems;"
High School,Precalculus,2(K),"analyze characteristics of rational functions and the behavior of the function around the asymptotes, including horizontal, vertical, and oblique asymptotes"
High School,Precalculus,2(L),"determine various types of discontinuities in the interval (-∞, ∞) as they relate to functions and explore the limitations of the graphing calculator as it relates to the behavior of the function around discontinuities"
High School,Precalculus,2(M),describe the left-sided behavior and the right-sided behavior of the graph of a function around discontinuities
High School,Precalculus,2(N),"analyze situations modeled by functions, including exponential, logarithmic, rational, polynomial, and power functions, to solve real-world problems"
High School,Precalculus,2(O),develop and use a sinusoidal function that models a situation in mathematical and real-world problems; and
High School,Precalculus,2(P),determine the values of the trigonometric functions at the special angles and relate them in mathematical and real-world problems
High School,Precalculus,3(A),graph a set of parametric equations
High School,Precalculus,3(B),convert parametric equations into rectangular relations and convert rectangular relations into parametric equations
High School,Precalculus,3(C),use parametric equations to model and solve mathematical and real-world problems
High School,Precalculus,3(D),graph points in the polar coordinate system and convert between rectangular coordinates and polar coordinates
High School,Precalculus,3(E),graph polar equations by plotting points and using technology
High School,Precalculus,3(F),determine the conic section formed when a plane intersects a double-napped cone
High School,Precalculus,3(G),make connections between the locus definition of conic sections and their equations in rectangular coordinates
High School,Precalculus,3(H),"use the characteristics of an ellipse to write the equation of an ellipse with center (h, k); and"
High School,Precalculus,3(I),"use the characteristics of a hyperbola to write the equation of a hyperbola with center (h, k)"
High School,Precalculus,4(A),determine the relationship between the unit circle and the definition of a periodic function to evaluate trigonometric functions in mathematical and real-world problems
High School,Precalculus,4(B),describe the relationship between degree and radian measure on the unit circle
High School,Precalculus,4(C),represent angles in radians or degrees based on the concept of rotation and find the measure of reference angles and angles in standard position
High School,Precalculus,4(D),"represent angles in radians or degrees based on the concept of rotation in mathematical and real-world problems, including linear and angular velocity"
High School,Precalculus,4(E),determine the value of trigonometric ratios of angles and solve problems involving trigonometric ratios in mathematical and real-world problems
High School,Precalculus,4(F),"use trigonometry in mathematical and real-world problems, including directional bearing"
High School,Precalculus,4(G),use the Law of Sines in mathematical and real-world problems;
High School,Precalculus,4(H),use the Law of Cosines in mathematical and real-world problems
High School,Precalculus,4(I),use vectors to model situations involving magnitude and direction
High School,Precalculus,4(J),represent the addition of vectors and the multiplication of a vector by a scalar geometrically and symbolically; and
High School,Precalculus,4(K),apply vector addition and multiplication of a vector by a scalar in mathematical and real-world problems
High School,Precalculus,5(A),"evaluate finite sums and geometric series, when possible, written in sigma notation"
High School,Precalculus,5(B),represent arithmetic sequences and geometric sequences using recursive formulas
High School,Precalculus,5(C),calculate the nth term and the nth partial sum of an arithmetic series in mathematical and real-world problems
High School,Precalculus,5(D),represent arithmetic series and geometric series using sigma notation
High School,Precalculus,5(E),"calculate the nth term of a geometric series, the nth partial sum of a geometric series, and sum of an infinite geometric series when it exists"
High School,Precalculus,5(F),"apply the Binomial Theorem for the expansion of (a + b)n in powers of a and b for a positive integer n, where a and b are any numbers"
High School,Precalculus,5(G),use the properties of logarithms to evaluate or transform logarithmic expressions
High School,Precalculus,5(H),generate and solve logarithmic equations in mathematical and real-world problems
High School,Precalculus,5(I),generate and solve exponential equations in mathematical and real-world problems
High School,Precalculus,5(J),solve polynomial equations with real coefficients by applying a variety of techniques in mathematical and real-world problems
High School,Precalculus,5(K),solve polynomial inequalities with real coefficients by applying a variety of techniques and write the solution set of the polynomial inequality in interval notation in mathematical and real-world problems
High School,Precalculus,5(L),solve rational inequalities with real coefficients by applying a variety of techniques and write the solution set of the rational inequality in interval notation in mathematical and real-world problems
High School,Precalculus,5(M),"use trigonometric identities such as reciprocal, quotient, Pythagorean, cofunctions, even/odd, and sum and difference identities for cosine and sine to simplify trigonometric expressions; and"
High School,Precalculus,5(N),generate and solve trigonometric equations in mathematical and real-world problems
High School,Theatre I,1(A),"understand the value and purpose of using listening, observation, concentration, cooperation, and emotional and sensory recall"
High School,Theatre I,1(B),develop and practice theatre preparation and warm-up techniques
High School,Theatre I,1(C),"develop and practice stage movement techniques such as mime, pantomime, stage combat, Laban, Lecoq, or Viewpoints consistently to express thoughts, feelings, and actions non-verbally"
High School,Theatre I,1(D),develop and practice effective voice and diction to express thoughts and feelings
High School,Theatre I,1(E),"analyze characters by describing attributes such as physical, intellectual, emotional, and social dimensions through reading scripts of published plays;"
High School,Theatre I,1(F),"demonstrate a working knowledge of the language of theatre such as stage terminology, elements of theatre, or theatrical conventions"
High School,Theatre I,1(G),analyze and describe the interdependence of all theatrical elements
High School,Theatre I,1(H),"define the roles of and appreciate the collaborative relationships between all artistic partners such as playwrights, composers, directors, actors, designers, technicians, and audience"
High School,Theatre I,1(I),identify and practice memorization skills
High School,Theatre I,1(J),identify the principles of improvisation; and
High School,Theatre I,1(K),identify and recognize the importance of safe theatre practices
High School,Theatre I,2(A),demonstrate safe use of the voice and body
High School,Theatre I,2(B),define creativity as it relates to personal expression
High School,Theatre I,2(C),employ effective voice and diction to express thoughts and feelings
High School,Theatre I,2(D),"use physical, intellectual, emotional, and social awareness to portray believable characters and convey a story when applying acting concepts, skills, and techniques"
High School,Theatre I,2(E),"employ physical techniques consistently to express thoughts, feelings, and actions non-verbally; and"
High School,Theatre I,2(F),"create, write, and refine original monologues, improvisations, scenes, or vignettes that reflect dramatic structure to convey meaning to the audience through live performance or media forms"
High School,Theatre I,3(A),develop and practice technical theatre skills
High School,Theatre I,3(B),"apply technical knowledge and skills safely to create or operate theatrical elements such as scenery, properties, lighting, sound, costumes, makeup, current technology, or publicity"
High School,Theatre I,3(C),"perform a role such as actor, director, designer, technician, or editor in production decision making and collaborate with others in a production role to tell a story through live theatre or media performance; and"
High School,Theatre I,3(D),"demonstrate responsibility, artistic discipline, and creative problem solving by concentrating in one or more areas of theatre production such as acting, technical theatre, or theatre management"
High School,Theatre I,4(A),"portray theatre as a reflection of life in particular times, places, and cultures"
High School,Theatre I,4(B),relate historical and cultural influences on theatre
High School,Theatre I,4(C),"identify the impact of live theatre, film, television, and electronic media on contemporary society"
High School,Theatre I,4(D),"appreciate the cultural heritages of world drama and theatre and identify key figures, works, and trends in dramatic literature"
High School,Theatre I,4(E),"appreciate the multicultural heritage of United States drama and theatre and identify key figures, works, and trends in dramatic literature; and"
High School,Theatre I,4(F),"identify and appreciate the innovations and contributions of the United States to the performing arts such as theatre, melodrama, musical theatre, radio, film, television, technology, or electronic media"
High School,Theatre I,5(A),analyze and apply appropriate behavior at various types of live performances
High School,Theatre I,5(B),recognize theatre as an art form and evaluate self as a creative being
High School,Theatre I,5(C),offer and receive constructive criticism of peer performances
High School,Theatre I,5(D),"evaluate live theatre in written and oral form with precise and specific observations using appropriate evaluative theatre vocabulary such as intent, structure, effectiveness, and value"
High School,Theatre I,5(E),"evaluate film, television, or other media in written or oral form with precise and specific observations using appropriate evaluative theatre vocabulary such as intent, structure, effectiveness, and value"
High School,Theatre I,5(F),"explore career and avocational opportunities such as theatre education, arts administration, performance, design, management, and playwriting in theatre or media and evaluate the training, skills, self-discipline, and artistic discipline needed to pursue such opportunities"
High School,Theatre I,5(G),"use technology such as electronic portfolios, research projects, and journals to document and present information in a clear and coherent manner; and"
High School,Theatre I,5(H),connect theatre skills and experiences to higher education and careers outside of the theatre
High School,Theatre II,1(A),develop and practice theatre warm-up techniques
High School,Theatre II,1(B),"develop and practice stage movement techniques consistently to express thoughts, feelings, and actions non-verbally"
High School,Theatre II,1(C),demonstrate effective voice and diction
High School,Theatre II,1(D),analyze dramatic structure and genre
High School,Theatre II,1(E),"identify examples of theatrical conventions in theatre, film, television, and electronic media"
High School,Theatre II,1(F),relate the interdependence of all theatrical elements; and
High School,Theatre II,1(G),develop and practice memorization skills
High School,Theatre II,2(A),"model safe, appropriate techniques to allow for physical, vocal, and emotional expression"
High School,Theatre II,2(B),explore creativity as it relates to self and ensemble
High School,Theatre II,2(C),demonstrate effective voice and diction to express thoughts and feelings
High School,Theatre II,2(D),"apply physical, intellectual, emotional, and social interactions to portray believable characters and convey a story when applying acting concepts, skills, and techniques"
High School,Theatre II,2(E),"develop physical techniques consistently to express thoughts, feelings, and actions non-verbally; and"
High School,Theatre II,2(F),"create, write, devise, and refine original monologues, improvisations, scenes, or vignettes to convey meaning to the audience through live performance or media forms"
High School,Theatre II,3(A),develop and practice safe and effective stagecraft skills
High School,Theatre II,3(B),"read and analyze cultural, social, and political aspects of a script to determine technical elements"
High School,Theatre II,3(C),"analyze characters, themes, duties, and elements of a script to determine artistic roles and technical assignments"
High School,Theatre II,3(D),"perform a role such as actor, director, designer, technician, or editor in production decision making and collaborate with others to tell a story through live theatre or media performance; and"
High School,Theatre II,3(E),"develop responsibility, artistic discipline, and creative problem solving by concentrating in one or more areas of theatre production such as acting, technical theatre, or theatre management"
High School,Theatre II,4(A),analyze historical and cultural influences on theatre
High School,Theatre II,4(B),"analyze ways in which theatre, television, and film play a role in our daily lives and influence our values and behaviors"
High School,Theatre II,4(C),"analyze and evaluate the impact of live theatre, film, television, and electronic media in contemporary society"
High School,Theatre II,4(D),"research the influences of world drama and theatre and identify key figures, works, and trends in dramatic literature"
High School,Theatre II,4(E),"research the influences of the multicultural heritage of drama and theatre in the United States and identify key figures, works, and trends in dramatic literature; and"
High School,Theatre II,4(F),"identify and appreciate the innovations and contributions of the United States to the performing arts such as theatre, melodrama, musical theatre, radio, film, television, technology, or electronic media"
High School,Theatre II,5(A),evaluate and apply appropriate audience etiquette at various types of performances
High School,Theatre II,5(B),analyze theatre as an art form and evaluate self as a creative being
High School,Theatre II,5(C),offer and receive constructive criticism of peer performances
High School,Theatre II,5(D),"evaluate the treatment of artistic elements such as theme, character, setting, and action in theatre, musical theatre, dance, art, music, or other media and integrate more than one art form in informal presentations"
High School,Theatre II,5(E),"examine career and avocational opportunities such as theatre education, arts administration, performance, design, management, and playwriting in theatre or other media and evaluate the training, skills, self-discipline, and artistic discipline needed to pursue such opportunities"
High School,Theatre II,5(F),"use technology such as portfolios, research projects, and journals to document and present information in a clear and coherent manner; and"
High School,Theatre II,5(G),connect theatre skills and experiences to higher education and careers outside of the theatre
High School,Theatre III,1(A),apply theatre preparation and warm-up techniques effectively
High School,Theatre III,1(B),experiment with stage movement
High School,Theatre III,1(C),"distinguish the proper techniques such as diction, inflection, and projection in the use of voice"
High School,Theatre III,1(D),analyze and evaluate dramatic structure and genre
High School,Theatre III,1(E),"distinguish between the theatrical conventions of theatre, film, television, and other media"
High School,Theatre III,1(F),evaluate the interdependence of all theatrical elements; and
High School,Theatre III,1(G),develop and practice memorization skills
High School,Theatre III,2(A),"employ safe, appropriate techniques to allow for physical, vocal, and emotional expression"
High School,Theatre III,2(B),analyze creativity as it relates to self and ensemble and its effect on audience
High School,Theatre III,2(C),"analyze characters from various genres and styles, describing physical, intellectual, emotional, and social dimensions"
High School,Theatre III,2(D),experiment with improvisation and scripted scenes of various styles to portray believable characters;
High School,Theatre III,2(E),"write dialogue that reveals character motivation, advances plot, provides exposition, and reveals theme; and"
High School,Theatre III,2(F),integrate two or more art or media forms in a performance
High School,Theatre III,3(A),experiment with technical elements of theatre safely and effectively in improvisation or scripted scenes or plays
High School,Theatre III,3(B),"analyze and evaluate dramatic texts as a basis for technical discussions, considering themes, settings, times, literary styles, genres, and characters"
High School,Theatre III,3(C),cast and direct duet scenes
High School,Theatre III,3(D),"perform a role such as actor, director, designer, technician, or editor in production decision making and collaborate with others to tell a story through live theatre or media performance; and"
High School,Theatre III,3(E),"perform the role of actor, director, or technician, demonstrating responsibility, artistic discipline, and creative problem solving"
High School,Theatre III,4(A),evaluate historical and cultural influences on theatre
High School,Theatre III,4(B),"analyze ways in which theatre, television, and film play a role in our daily lives and influence our values and behaviors"
High School,Theatre III,4(C),"employ and evaluate the impact of live theatre, film, television, and other media in contemporary society"
High School,Theatre III,4(D),"research the influences of world drama and theatre and identify key figures, works, and trends in dramatic literature"
High School,Theatre III,4(E),"research the influences of the multicultural heritage of drama and theatre in the United States and identify key figures, works, and trends in dramatic literature; and"
High School,Theatre III,4(F),"identify and appreciate the innovations and contributions of the United States to the performing arts such as theatre, melodrama, musical theatre, radio, film, television, technology, or electronic media"
High School,Theatre III,5(A),compare behavior at various types of performances and practice appropriate audience etiquette
High School,Theatre III,5(B),recognize theatre as an art form and evaluate self as a creative being
High School,Theatre III,5(C),"apply the concepts of evaluation to performances and evaluate theatre, film, television, and other media with depth and complexity using appropriate vocabulary"
High School,Theatre III,5(D),"compare communication methods of theatre with those of art, music, dance, and other media"
High School,Theatre III,5(E),"make judgments about selected career and avocational opportunities such as theatre education, arts administration, performance, design, management, and playwriting in theatre, film, television, and other media and analyze the training, skills, self-discipline, and artistic discipline needed to pursue such opportunities"
High School,Theatre III,5(F),"use technology such as portfolios, research projects, and journals to document and present information in a clear and coherent manner;"
High School,Theatre III,5(G),relate theatre skills and experiences to higher education and careers outside of the theatre; and
High School,Theatre III,5(H),create a personal resume or portfolio of theatrical experience
High School,Theatre IV,1(A),create and demonstrate theatre preparation and warm-up techniques
High School,Theatre IV,1(B),devise and model stage movement
High School,Theatre IV,1(C),"model proper techniques such as diction, inflection, and projection in the use of effective voice"
High School,Theatre IV,1(D),"compare the structure of theatre to that of film, television, and other media;"
High School,Theatre IV,1(E),evaluate theatrical conventions of various cultural and historical periods
High School,Theatre IV,1(F),evaluate the interdependence of all theatrical elements; and
High School,Theatre IV,1(G),develop and model memorization skills
High School,Theatre IV,2(A),"model safe, appropriate techniques to allow for physical, vocal, and emotional expression"
High School,Theatre IV,2(B),demonstrate creativity as it relates to self and ensemble and its effect on audience
High School,Theatre IV,2(C),"analyze and interpret characters from various genres and styles, describing physical, intellectual, emotional, and social dimensions"
High School,Theatre IV,2(D),interpret scripted scenes of various styles to portray believable characters; and
High School,Theatre IV,2(E),create individually or devise collaboratively imaginative scripts and scenarios
High School,Theatre IV,3(A),experiment with the technical elements of theatre safely and effectively in improvisation or scripted scenes or plays
High School,Theatre IV,3(B),analyze and evaluate dramatic texts and direct brief scenes
High School,Theatre IV,3(C),"demonstrate understanding of a director's responsibility to the author's intent, script, actors, designers, technicians, and audience"
High School,Theatre IV,3(D),"analyze production plans that include research, rehearsal plans, technical designs, and blocking"
High School,Theatre IV,3(E),"demonstrate leadership by casting and directing a long scene or a short play, producing a unified theatrical production; and"
High School,Theatre IV,3(F),"apply expertise in one or more areas of theatre production, demonstrating responsibility, artistic discipline, and creative problem solving"
High School,Theatre IV,4(A),evaluate historical and cultural influences on theatre
High School,Theatre IV,4(B),"analyze ways in which theatre, television, and film play a role in our daily lives and influence our values and behaviors"
High School,Theatre IV,4(C),"employ and evaluate the impact of live theatre, film, television, and other media in contemporary society"
High School,Theatre IV,4(D),"research the influences of world drama and theatre and identify key figures, works, and trends in dramatic literature"
High School,Theatre IV,4(E),"research the influences of the multicultural heritage of drama and theatre in the United States and identify key figures, works, and trends in dramatic literature; and"
High School,Theatre IV,4(F),"identify and appreciate the innovations and contributions of the United States to the performing arts such as theatre, melodrama, musical theatre, radio, film, television, technology or electronic media"
High School,Theatre IV,5(A),evaluate and practice appropriate audience behavior at various types of performances
High School,Theatre IV,5(B),defend theatre as an art form and value self as a creative being;
High School,Theatre IV,5(C),"apply evaluation concepts to performances, and compare and contrast literary and dramatic criticism of theatre, film, television, or other media"
High School,Theatre IV,5(D),"compare and contrast the elements and communication methods of theatre, film, music, art, dance, or other media in a specific culture or historical period"
High School,Theatre IV,5(E),"evaluate selected career and avocational opportunities such as theatre education, arts administration, performance, design, management, playwriting, and dramatic criticism in theatre, film, television, and other media and analyze the training, skills, self-discipline, and artistic discipline needed to pursue such opportunities"
High School,Theatre IV,5(F),"employ technology such as portfolios, research projects, and journals to communicate and present findings in a clear and coherent manner"
High School,Theatre IV,5(G),appraise personal theatre skills and experiences to opportunities in higher education and careers outside of the theatre; and
High School,Theatre IV,5(H),create a personal resume or portfolio of theatrical experience
High School,US History,1(A),"analyze and evaluate the text, intent, meaning, and importance of the Declaration of Independence and the U.S. Constitution, including the Bill of Rights"
High School,US History,1(B),analyze and evaluate the application of these founding principles to historical events in U.S. history; and
High School,US History,1(C),"explain the meaning and historical significance of the mottos ""E Pluribus Unum"" and ""In God We Trust."""
High School,US History,2(A),identify the major eras in U.S. history from 1877 to the present and describe their defining characteristics; and
High School,US History,2(B),"explain the significance of the following years as turning points: 1898 (Spanish-American War), 1914-1918 (World War I), 1929 (the Great Depression begins), 1939-1945 (World War II), 1957 (Sputnik launch ignites U.S.-Soviet space race), 1968 (Martin Luther King Jr. assassination), 1969 (U.S. lands on the moon), 1991 (Cold War ends), 2001 (terrorist attacks on World Trade Center and the Pentagon), and 2008 (election of first black president, Barack Obama)"
High School,US History,3(A),"analyze political issues such as Indian policies, the growth of political machines, and civil service reform"
High School,US History,3(B),"analyze economic issues such as industrialization, the growth of railroads, the growth of labor unions, farm issues, the cattle industry boom, the growth of entrepreneurship, and the pros and cons of big business; and"
High School,US History,3(C),"analyze social issues affecting women, minorities, children, immigrants, and urbanization"
High School,US History,4(A),"explain why significant events, policies, and individuals, including the Spanish-American War, U.S. expansionism, Alfred Thayer Mahan, Theodore Roosevelt, and Sanford B. Dole moved the United States into the position of a world power"
High School,US History,4(B),"evaluate American expansionism, including acquisitions such as Guam, Hawaii, the Philippines, and Puerto Rico"
High School,US History,4(C),identify the causes of World War I and reasons for U.S. entry
High School,US History,4(D),"understand the contributions of the American Expeditionary Forces (AEF) led by General John J. Pershing, including the Battle of Argonne Forest"
High School,US History,4(E),"analyze the impact of machine guns, airplanes, tanks, poison gas, and trench warfare as significant technological innovations in World War I on the Western Front; and"
High School,US History,4(F),"analyze major issues raised by U.S. involvement in World War I, including isolationism, neutrality, Woodrow Wilson's Fourteen Points, and the Treaty of Versailles"
High School,US History,5(A),"analyze the impact of Progressive Era reforms, including initiative, referendum, recall, and the passage of the 16th, 17th, 18th, and 19th amendments"
High School,US History,5(B),"evaluate the impact of muckrakers and reform leaders such as Upton Sinclair, Susan B. Anthony, Jane Addams, Ida B. Wells, and W. E. B. DuBois on American society; and"
High School,US History,5(C),"analyze the impact of third parties, including the Populist and Progressive parties"
High School,US History,6(A),"analyze causes and effects of events and social issues such as immigration, Social Darwinism, the Scopes Trial, eugenics, race relations, nativism, the Red Scare, Prohibition, and the changing role of women; and"
High School,US History,6(B),"analyze the impact of significant individuals such as Henry Ford, Marcus Garvey, and Charles A. Lindbergh"
High School,US History,7(A),"identify reasons for U.S. involvement in World War II, including the aggression of Italian, German, and Japanese dictatorships, especially the attack on Pearl Harbor"
High School,US History,7(B),"evaluate the domestic and international leadership of Franklin D. Roosevelt and Harry Truman during World War II, including the U.S. relationship with its allies"
High School,US History,7(C),"analyze major issues of World War II, including the Holocaust, the internment of Japanese Americans as a result of Executive Order 9066, and the development of atomic weapons"
High School,US History,7(D),"analyze major military events of World War II, including fighting the war on multiple fronts, the Bataan Death March, the U.S. military advancement through the Pacific Islands, the Battle of Midway, the invasion of Normandy, and the liberation of concentration camps"
High School,US History,7(E),"describe the military contributions of leaders during World War II, including Dwight Eisenhower, Douglas MacArthur, and Chester W. Nimitz"
High School,US History,7(F),"explain issues affecting the home front, including volunteerism, the purchase of war bonds, and Victory Gardens and opportunities and obstacles for women and ethnic minorities; and"
High School,US History,7(G),"explain how American patriotism inspired high levels of military enlistment and the bravery and contributions of the Tuskegee Airmen, the Flying Tigers, and the Navajo Code Talkers"
High School,US History,8(A),"describe U.S. responses to Soviet aggression after World War II, including the Truman Doctrine, the Marshall Plan, the Berlin Airlift, the North Atlantic Treaty Organization, and John F. Kennedy's role in the Cuban Missile Crisis"
High School,US History,8(B),"describe how Cold War tensions were intensified by the House Un-American Activities Committee (HUAC), McCarthyism, the arms race, and the space race"
High School,US History,8(C),explain reasons and outcomes for U.S. involvement in the Korean War and its relationship to the containment policy
High School,US History,8(D),"explain reasons and outcomes for U.S. involvement in foreign countries and their relationship to the Domino Theory, including the Vietnam War"
High School,US History,8(E),"analyze the major events of the Vietnam War, including the escalation of forces, the Tet Offensive, Vietnamization, and the fall of Saigon; and"
High School,US History,8(F),"describe the responses to the Vietnam War, including the draft, the 26th Amendment, the role of the media, the credibility gap, the silent majority, and the anti-war movement"
High School,US History,9(A),"trace the historical development of the civil rights movement from the late 1800s through the 21st century, including the 13th, 14th, 15th, and 19th amendments"
High School,US History,9(B),explain how Jim Crow laws and the Ku Klux Klan created obstacles to civil rights for minorities such as the suppression of voting
High School,US History,9(C),"describe the roles of political organizations that promoted African American, Chicano, American Indian, and women's civil rights"
High School,US History,9(D),"identify the roles of significant leaders who supported various rights movements, including Martin Luther King Jr., Cesar Chavez, Dolores Huerta, Rosa Parks, and Betty Friedan"
High School,US History,9(E),compare and contrast the approach taken by the Black Panthers with the nonviolent approach of Martin Luther King Jr
High School,US History,9(F),"discuss the impact of the writings of Martin Luther King Jr., including his ""I Have a Dream"" speech and ""Letter from Birmingham Jail"" on the civil rights movement"
High School,US History,9(G),"describe presidential actions and congressional votes to address minority rights in the United States, including desegregation of the armed forces, the Civil Rights Act of 1964, and the Voting Rights Act of 1965"
High School,US History,9(H),"explain how George Wallace, Orval Faubus, and the Congressional bloc of southern Democrats sought to maintain the status quo"
High School,US History,9(I),"evaluate changes in the United States that have resulted from the civil rights movement, including increased participation of minorities in the political process; and"
High School,US History,9(J),describe how Sweatt v. Painter and Brown v. Board of Education played a role in protecting the rights of the minority during the civil rights movement
High School,US History,10(A),describe Richard M. Nixon's leadership in the normalization of relations with China and the policy of détente
High School,US History,10(B),"describe Ronald Reagan's leadership in domestic and international policies, including Reagan's economic policies and Peace Through Strength"
High School,US History,10(C),"describe U.S. involvement in the Middle East such as support for Israel, the Camp David Accords, the Iran Hostage Crisis, Marines in Lebanon, and the Iran-Contra Affair"
High School,US History,10(D),describe the causes and key organizations of the conservative resurgence of the 1980s such as the Heritage Foundation and the Moral Majority; and
High School,US History,10(E),describe significant societal issues of this time period such as the War on Drugs and the AIDS epidemic
High School,US History,11(A),"describe U.S. involvement in world affairs, including the end of the Cold War, the Persian Gulf War, the events surrounding September 11, 2001, and the global War on Terror"
High School,US History,11(B),"identify significant social and political issues such as health care, immigration, and education from different viewpoints across the political spectrum"
High School,US History,11(C),analyze the impact of third parties on the 1992 and 2000 presidential elections; and
High School,US History,11(D),"identify the impact of international events, multinational corporations, government policies, and individuals on the 21st century economy"
High School,US History,12(A),"analyze the causes and effects of changing demographic patterns resulting from migration within the United States, including western expansion, rural to urban, the Great Migration, and the Rust Belt to the Sun Belt; and"
High School,US History,12(B),analyze the causes and effects of changing demographic patterns resulting from immigration to the United States
High School,US History,14(A),identify the effects of population growth and distribution on the physical environment; and
High School,US History,14(B),"identify the roles of governmental entities and private citizens in managing the environment such as the establishment of the National Park System, the Environmental Protection Agency (EPA), and the Endangered Species Act"
